visibility_score,visibility_label,swell_band,forecast_issued_at_utc,lead_time_hours,location,valid_time_utc,valid_time_local,wind_speed_kmh,wind_dir_deg,wind_gust_kmh,rainfall_mm,swell_height_m,swell_period_s,swell_dir_deg,wave_height_m,wind_wave_height_m,current_velocity_kmh,current_dir_deg,sea_level_height_m,sea_surface_temp_c,chlorophyll_mg_m3,chlorophyll_source,notes
65.7,Good,Amazing,2026-09-07T00:12:05Z,1,Williamstown,2026-09-07T01:00:00Z,2026-09-07T11:00,27.0,192,37.4,0.0,0.28,5.6,203,0.84,0.78,0.4,63,0.05,13.8,,unavailable (no satellite pass / dataset error),
66.1,Good,Great,2026-09-07T00:12:05Z,2,Williamstown,2026-09-07T02:00:00Z,2026-09-07T12:00,25.7,192,36.4,0.0,0.36,5.7,200,0.94,0.84,0.3,45,0.03,13.9,,unavailable (no satellite pass / dataset error),
65.6,Good,Great,2026-09-07T00:12:05Z,3,Williamstown,2026-09-07T03:00:00Z,2026-09-07T13:00,25.1,195,34.6,0.0,0.42,5.75,197,1.04,0.92,0.3,45,0.1,13.9,,unavailable (no satellite pass / dataset error),
65.8,Good,Great,2026-09-07T00:12:05Z,4,Williamstown,2026-09-07T04:00:00Z,2026-09-07T14:00,25.1,194,33.8,0.0,0.46,5.65,194,1.02,0.86,0.3,45,0.16,13.9,,unavailable (no satellite pass / dataset error),
67.0,Good,Great,2026-09-07T00:12:05Z,5,Williamstown,2026-09-07T05:00:00Z,2026-09-07T15:00,24.2,193,33.8,0.0,0.48,5.5,190,0.98,0.82,0.3,45,0.25,13.9,,unavailable (no satellite pass / dataset error),
67.9,Good,Great,2026-09-07T00:12:05Z,6,Williamstown,2026-09-07T06:00:00Z,2026-09-07T16:00,23.2,193,32.8,0.0,0.52,5.25,187,0.96,0.76,0.4,27,0.37,13.9,,unavailable (no satellite pass / dataset error),
70.1,Good,Great,2026-09-07T00:12:05Z,7,Williamstown,2026-09-07T07:00:00Z,2026-09-07T17:00,21.1,194,31.3,0.0,0.54,4.9,187,0.92,0.66,0.4,27,0.46,13.9,,unavailable (no satellite pass / dataset error),
72.7,Good,Great,2026-09-07T00:12:05Z,8,Williamstown,2026-09-07T08:00:00Z,2026-09-07T18:00,18.9,194,28.4,0.0,0.56,4.5,186,0.88,0.58,0.3,45,0.44,13.9,,unavailable (no satellite pass / dataset error),
73.3,Good,Great,2026-09-07T00:12:05Z,9,Williamstown,2026-09-07T09:00:00Z,2026-09-07T19:00,18.7,191,25.6,0.0,0.58,4.1,186,0.84,0.48,0.3,45,0.33,13.9,,unavailable (no satellite pass / dataset error),
75.8,Good,Great,2026-09-07T00:12:05Z,10,Williamstown,2026-09-07T10:00:00Z,2026-09-07T20:00,16.6,189,25.6,0.0,0.56,3.75,186,0.78,0.38,0.3,45,0.18,13.9,,unavailable (no satellite pass / dataset error),
