visibility_score,visibility_label,swell_band,logged_at_utc,location,valid_time_utc,valid_time_local,wind_speed_kmh,wind_dir_deg,wind_gust_kmh,rainfall_mm,swell_height_m,swell_period_s,swell_dir_deg,wave_height_m,wind_wave_height_m,current_velocity_kmh,current_dir_deg,sea_level_height_m,sea_surface_temp_c,chlorophyll_mg_m3,chlorophyll_source,notes
90.0,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-27T14:00:00Z,2026-08-28T00:00,7.3,353,11.9,0.0,0.14,4.0,196,0.16,0.0,,,,13.0,,unavailable (no satellite pass / dataset error),
88.2,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-27T15:00:00Z,2026-08-28T01:00,8.8,359,13.7,0.0,0.14,4.0,197,0.16,0.0,,,,12.9,,unavailable (no satellite pass / dataset error),
89.8,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-27T16:00:00Z,2026-08-28T02:00,7.4,338,14.0,0.0,0.12,4.0,195,0.16,0.0,,,,12.9,,unavailable (no satellite pass / dataset error),
89.2,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-27T17:00:00Z,2026-08-28T03:00,8.1,317,13.0,0.0,0.12,4.05,193,0.14,0.02,,,,12.9,,unavailable (no satellite pass / dataset error),
89.0,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-27T18:00:00Z,2026-08-28T04:00,8.3,330,14.0,0.0,0.1,4.1,191,0.14,0.02,,,,12.9,,unavailable (no satellite pass / dataset error),
88.4,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-27T19:00:00Z,2026-08-28T05:00,8.8,327,14.0,0.0,0.1,4.15,200,0.14,0.02,,,,12.9,,unavailable (no satellite pass / dataset error),
88.1,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-27T20:00:00Z,2026-08-28T06:00,9.1,339,14.8,0.0,0.12,4.25,208,0.14,0.02,,,,12.9,,unavailable (no satellite pass / dataset error),
89.0,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-27T21:00:00Z,2026-08-28T07:00,8.3,342,14.8,0.0,0.12,4.3,217,0.14,0.02,,,,12.9,,unavailable (no satellite pass / dataset error),
89.9,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-27T22:00:00Z,2026-08-28T08:00,7.5,336,14.0,0.0,0.12,4.3,215,0.14,0.02,,,,12.9,,unavailable (no satellite pass / dataset error),
91.2,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-27T23:00:00Z,2026-08-28T09:00,6.4,333,13.0,0.0,0.12,4.3,213,0.14,0.0,,,,12.9,,unavailable (no satellite pass / dataset error),
92.6,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-28T00:00:00Z,2026-08-28T10:00,5.2,333,11.2,0.0,0.12,4.3,211,0.14,0.0,,,,12.9,,unavailable (no satellite pass / dataset error),
93.5,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-28T01:00:00Z,2026-08-28T11:00,4.4,277,7.2,0.0,0.12,4.3,212,0.14,0.0,,,,13.0,,unavailable (no satellite pass / dataset error),
91.3,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-28T02:00:00Z,2026-08-28T12:00,6.1,210,6.1,0.0,0.14,4.3,212,0.16,0.0,,,,13.0,,unavailable (no satellite pass / dataset error),
90.4,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-28T03:00:00Z,2026-08-28T13:00,6.9,200,9.7,0.0,0.14,4.3,213,0.16,0.0,,,,13.1,,unavailable (no satellite pass / dataset error),
87.6,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-28T04:00:00Z,2026-08-28T14:00,8.7,187,11.2,0.3,0.16,4.25,212,0.18,0.02,,,,13.1,,unavailable (no satellite pass / dataset error),
88.4,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-28T05:00:00Z,2026-08-28T15:00,7.3,173,10.8,0.5,0.16,4.15,211,0.18,0.02,,,,13.2,,unavailable (no satellite pass / dataset error),
84.8,Excellent,,2026-08-30T09:10:10Z,Williamstown,2026-08-28T06:00:00Z,2026-08-28T16:00,10.3,187,9.7,0.0,0.18,4.05,210,0.2,0.04,,,,13.2,,unavailable (no satellite pass / dataset error),
